iter	Passed	Remaining
0	0	84
1	1	73
2	2	69
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	54
15	10	53
16	10	52
17	11	51
18	11	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	55	0
99	56	0
